tanggal,tweet,wisata_hiburan,pendidikan,fasilitas_layanan_publik,kuliner
2023-06-14,"Selamat pagi purwokerto 🌹
Hai...hai... hari ini aku sudah kembali #Availpurwokerto &amp; sekitarnya ya say 😘
setelah cirebon lanjut kota tegal tgl 26-28
info RR by DM 🥰
0813-7416-2067
#expopurwokerto #bopurwokerto #bisyarpurwokerto #bispakpurwokerto #bocilacap #bocirebon #botegal https://t.co/sNTijLdbyo",-1,-1,-1,-1
2023-06-14,"@anadhewiee DOM KOTA TEGAL, JAWA TENGAH. https://t.co/xnq0DcBCQN",-1,-1,-1,1
2023-06-15,"@cinderjaems DOM KOTA TEGAL, JAWA TENGAH. https://t.co/7Xf5tJMqfy",-1,-1,-1,1
2023-06-20,"Persoalan putus sekolah Anisa Maharani, menjadi perhatian Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) Muhadjir Effendy.
https://t.co/QFTAI58X4D",-1,-1,-1,-1
2023-06-14,"@cinderjaems DONE!🙋🏻‍♀️💚
DOM KOTA TEGAL, JAWA TENGAH. https://t.co/iBFNqmDWXH",-1,-1,-1,1
2023-06-19,"@alfamart saya sudah sering beberapa kali belanja di alfamart jl nanas kota Tegal. Untuk oknum karyawan sering sekali melakukan scan 2x terkhusus bila ada promo, padahal saya tidak mau beli paket bundling promo. Tolong karyawannya dibina karena sering melakukan kecurangan. https://t.co/KGUko1LHhs",-1,-1,-1,-1
2023-06-19,"@caramelatez DOM KOTA TEGAL, JAWA TENGAH. https://t.co/VcAXCiUrK1",-1,-1,-1,1
2023-06-20,"Sebanyak 280 Tenaga Kesehatan (Nakes), dilantik menjadi Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Tenaga Kesehatan Formasi 2022 di Lingkungan Pemerintah Kota Tegal, oleh Penjabat Sekretaris Daerah Kota Tegal, Agus Dwi Sulistyantono.
https://t.co/IngMl8KqtP",-1,-1,-1,-1
2023-06-18,"Selamat pagi purwokerto 🌹
Hai...hai... hari ini aku sudah kembali #Availpurwokerto &amp; sekitarnya ya say 😘
setelah cirebon lanjut kota tegal tgl 26-28
info RR by DM 🥰
0813-7416-2067
#expopurwokerto #bopurwokerto #bisyarpurwokerto #bispakpurwokerto #bocilacap #bocirebon #botegal https://t.co/O9yqOn5mff",-1,-1,-1,-1
2023-06-20,"Sebanyak 136 Pegawai Fungsional formasi tahun 2019 dan tahun 2020 di Lingkungan Pemerintah Kota Tegal dilantik Wali Kota Tegal Dedy Yon Supriyono di Ruang Adipura, Komplek Balai Kota Tegal
https://t.co/6xiLuIUqss",-1,-1,1,-1
2023-06-17,"Selamat pagi purwokerto 🌹
Hai...hai... hari ini aku sudah kembali #Availpurwokerto &amp; sekitarnya ya say 😘
setelah cirebon lanjut kota tegal tgl 26-28
info RR by DM 🥰
0813-7416-2067
#expopurwokerto #bopurwokerto #bisyarpurwokerto #bispakpurwokerto #bocilacap #bocirebon #botegal https://t.co/iIiLK3UaYg",-1,-1,-1,-1
2020-01-07,"Muter Kab Pekalongan-Pemalang, kab Tegal, kota Tegal seharian. 3 jembatan sudah jadi, alhamdulillah. Dan tadi ‘nemu’ kawan2 mahasiswa KKN Undip, saya nitip bantu mendisain taman kecil di ujung jembatan. Kamu mau bantu juga? https://t.co/5SqQ4OYjOR",-1,-1,-1,-1
2020-01-01,"Ratusan hektar bawang merah di Kota Tegal terendam banjir, petani rugi ratusan bahkan milyaran rupiah https://t.co/kY85bFd4Ar",-1,-1,-1,-1
2020-01-25,"Wait ini bukan di JKT loh..
Tapi kok pada salamin 🤭 
Subhanalloh bpk @aniesbaswedan kehangatan dan aura kepemimpinan nya sngt terasa

📍Mesjid Agung kota Tegal https://t.co/tAJqXbEomK",1,-1,-1,-1
2020-01-02,Ini alun alun kota Tegal. Jadi bukan salah pak Anies. https://t.co/vU4oaoBizK,1,-1,-1,1
2020-01-08,"Gubernurku yg cepat tanggap👍
Pulang Dari Tegal, Respon Aduan Netizen,@ganjarpranowo Langsung Ngecek Banjir Kaligawe Semarang

Selepas kunjungan ke Kab Pekalongan, Pemalang dan Kota Tegal, Gub. Jaten Ganjar Pranowo langsung mengecek banjir di Kaligawe Semarang,Selasa 7/1/2020 mlm https://t.co/zfZlKISOiS",-1,-1,-1,-1
2020-01-29,"Chandra Asri sebagai mitra dari INAPLAS dan ADUPI juga terus mendukung upaya pemerintah kota Tegal dan pemerintah kota lainnya dalam menerapkan jalan aspal plastik ini.

#YourGrowthPartner",-1,-1,-1,-1
2020-01-17,"Kunjungan ""Gemar Makan Ikan"" TK Negeri Pembina Kota Tegal di SUPM Tegal.
@sjariefwidjaja @bsuprakto @brsdm_kp @Pusdik_KP @Maskurikkp1 @Rochmat92348955 @KurniaAnjang https://t.co/pnYOWr4Y5h",-1,-1,-1,-1
2020-01-02,@NyiRusmini2 @Faujijpn_ @yusuf_dumdum Lampu merah gantung jl veteran kota Tegal. Masih mau bilang Jateng aman bebas banjir? Ndasmu. @yusuf_dumdum https://t.co/hpLZGQExv0,-1,-1,1,-1
2020-01-29,Ringkasan dari Pengumuman Pelaksanaan SKD pelamar CPNS Kota Tegal Formasi 2019 https://t.co/9xLwzKUybq,-1,1,1,-1
2020-01-02,@Faujijpn_ @NyiRusmini2 @yusuf_dumdum RSUD Kardinah kota Tegal https://t.co/6RyGql4sAF,-1,-1,1,-1
2020-01-02,@ganjarpranowo @pemkabKEBUMEN @pemkab_klaten @DiskominfoKudus @bpbd_pati @BPPD_JATENG lapor pak gub. kota tegal terpantau sudah surut sebelumnya banjir akibat hujan dan terjadi konsleting listrik yang menyebabkan kebakaran pada tahun baru kemarin . lokasi tegal selatan sekitar alun alun kota tegal,-1,-1,-1,-1
2020-01-09,"Pekerjaannya Jelek,Kontraktor Rumah Pompa Ini Kena Tegur @ganjarpranowo 

Saat melakukan kunjungan kerja ke Kota Tegal pada Selasa 7 Januari 2019 kemarin, Gub Ganjar Pranowo meninjau pembangunan rumah pompa di Kolam Retensi Tegalsari
@Gus_Raharjo @Je_Ly @podjiutami @RizmaWidiono https://t.co/9iq7TalKTG",-1,-1,-1,-1
2020-01-18,"@berrypuop @Sate_tirek Ati"" mbanya di kota Tegal emg kalo ada org luar sering ke gitu, mending tanya tanya harga dulu",-1,-1,-1,1
2020-01-25,"Gedung di kota Tegal sejuta pesona , jgn dibiarkan terdiam dalam sepi...keren punya nilai seni lokasi depan stasiun kota Tegal @PemkotTegal @humasjateng #SetorFoto #tegal #slawi @HISTORY salam jepret... https://t.co/XvzpHyosXn",1,-1,-1,-1
2020-01-19,@Elina_Vay Biar hidup di perbatasan Kota Tegal-Brebes yg mayan pelosok kalo udh rezeki mah bisa sampe sini juga pasti. Amin,-1,-1,-1,-1
2020-01-26,Jasa Plafon Akustik di Kota Pekauman Tegal Barat Kota Tegal – Telepon Kami : 0812 598 51 001 https://t.co/uqeUnAbXtj https://t.co/rnKsUjYzR5,-1,-1,1,-1
2020-01-27,"@jawafess WOY MIN, TEGAL KI ONO KAB. KARO KOTA. NEK BU ANI KI NENG KAB. TEGAL. NEK KOTA TEGAL KI SING RAME KASUS OPO YO AKU YO MBERUH RA RETI",-1,-1,1,-1
2020-01-31,"#hyndiagigs 
Perjumpaan di bulan ke dua tahun 2020. Mari kita awali dengan kota #Tegal 
_
Kami bersama proudphere dan 12 finalis terbaik kota Tegal hadir di kedairadar | acara di mulai bada Ashar, kami tampil pukul… https://t.co/waDa5MOWjy",-1,-1,-1,-1
2020-01-14,"@zarryhendrik TK : TK Ihsaniyah 3 Tegal (1998 - 1999)
SD : SDN Kaligayam 02 (1999 - 2005)
SMP : SMPN 2 Kota Tegal (2005 - 2008)
SMA : SMAN 3 Kota Tegal (2008 - 2011)
KULIAH : Universitas Negeri Semarang - UNNES ( 2011 - 2016)",-1,1,-1,-1
2020-01-30,"Kegiatan Pembinaan Karakter Siswa SUPM Tegal oleh Sekda Kota Tegal Bpk. Drs. Imam Badarudin di SUPM Tegal.
@sjariefwidjaja @bsuprakto @brsdm_kp @Pusdik_KP @Maskurikkp1 @Rochmat92348955 @KurniaAnjang https://t.co/V8iAyFbLEc",-1,-1,-1,-1
2020-01-16,"Musyawarah Guru Mata Pelajaran (MGMP) Bahasa Indonesia Kota Tegal yg dilaksanakan di SUPM Tegal.
@sjariefwidjaja @bsuprakto @brsdm_kp @Pusdik_KP @Maskurikkp1 @Rochmat92348955 @HenryIskandar2 @KurniaAnjang https://t.co/ADUY5Gnb1W",-1,-1,-1,-1
2020-01-22,"Dari 3 kota ini: Cirebon, Tegal, Pekalongan, kota mana aja yang cocok buat jadi tempat stopover saat roadtrip Trans Jawa?",-1,-1,-1,-1
2020-01-26,"Hari ini ada 3 Cabang PC GP Ansor di Jawa Tengah yg mnggelar Rakercab, yaitu Pemalang, Temanggung &amp; Jepara. Ada 1 Cabang yg Pelantikan yaitu Kota Tegal. Selain itu, ada puluhan PAC yg menggelar Konferancab, Pelantikan Pengurus, &amp; Penutupan PKD-Diklatsar.
Ansor Maju Satu Barisan! https://t.co/pDsK9c3qWt",-1,-1,-1,-1
2020-01-29,Pemkot Tegal bekerja sama dengan INAPLAS telah menggelar jalan aspal plastik di kota Tegal pada 3 Desember 2019 yang lalu. Kerja sama ini bertujuan untuk menyelesaikan permasalahan sampah plastik dan meningkatkan nilai ekonomi dari plastik bekas pakai. https://t.co/hIu1mdmPCc,-1,-1,-1,-1
2020-01-28,penandatangan perjanjian kinerja dukcapil kota tegal tahun 2020 bersama walikota tegal @dukcapil_jateng @Zudan_Fakrulloh https://t.co/u5QmRrHzdg,-1,-1,-1,-1
2020-01-22,"Wakil Walikota Tegal,  rusun  Low- Carbon Affordable Apartments in the Hot-Humid Climate of Indonesia Towards Paris Agreement 2030. JICA Kota Tegal sebagai pusat percontohan dunia bangunan rumah Susun atau apartments @MJJumadi @humasjateng @HumasTegalkab https://t.co/cuZfb2Wh4p",-1,-1,-1,-1
2020-01-31,"Infografis CPNS Kota Tegal

Sumber: FB/ Warta Bahari https://t.co/Z0OHL6p8Xx",-1,-1,-1,-1
2020-01-01,"Malam tahun baru menjadi kelabu, semalam di Kota Tegal terjadi banjir dan kebakaran, hujan begitu santun dari sore hari hingga jam 02.00 reda, meninggalkan banjir tapi tidak masuk rumah...terima kasih Tuhanku...",-1,-1,-1,-1
2020-01-31,"Ekstrakurikuler Menari
SDIT BIAS ASSALAM KOTA TEGAL
.
Ekstra Seni Tari, Menari membuat kita SEMAKIN KREATIF dan berani bereksperimen serta bereksplorasi. 
.
.
Humas PSB BIAS ASSALAM KOTA TEGAL
Jl. Dadali No. 12 Randugunting
Telp. 0283-4534-123 Hp/WA. 085225273641 https://t.co/PQXKhqklf0",-1,-1,-1,-1
2020-01-16,"@selphieusagi @DanangDarmawan kota Tegal dong, bikin dokumen kependudukan sdh lewat app, klo sdh jadi dokumennya diantar pula: gratis!",-1,-1,-1,-1
2020-01-13,@Roesstin Pantai muara reja kota Tegal,1,-1,1,-1
2020-01-23,Sosialisasi kampanya proaktif tentang penerimaan anggota polri melalui jalur SIPSS TA 2020 oleh personel polres tegal kota di Politeknik Harapan Bersama Kota Tegal https://t.co/ptExDvIqHK,-1,-1,-1,-1
2020-01-23,"Pengumuman....
Informasi Pelatihan Dinas Tenaga Kerja dan Perindustrian Kota Tegal

Daftar Kuy....
Khusus warga Kota Tegal ya kak... https://t.co/xXfd0e7vjd",-1,-1,-1,-1
2020-01-29,Pengurus Persatuan Olahraga Sepatu Roda Seluruh Indonesia Kota Tegal Target Emas https://t.co/iphXmksMg3,-1,1,-1,-1
2020-01-11,"@panca66 @ganjarpranowo Oh...betapa kuasa Alloh sungguh sngt2 adil..ketika sang gubernur mau bantu banjir di Jakarta...eeeeh ketampol..dong,dr.brebes,Purwodadi,Demak..kota Tegal,kota Pekalongan...dst",-1,-1,-1,-1
2020-01-20,"Sampah sampah yang di tinggal oleh para pengunjung taman kota Tegal
#LombaFotoKPUK #PlastikUntukKebaikan
@PlastikKebaikan https://t.co/3b1FAJZ5il",-1,-1,-1,-1
2020-01-31,"Kota Tegal (2016)
Foto diambil kalau nggak salah dulu saat motoran dari Jepara tujuan nggak jelas, yang penting main ke rumah temen kuliah.
Kalau nggak salah dulu perginya seminggu setelah lebaran https://t.co/JeaEnZArRv",-1,-1,-1,-1
2020-01-08,"Kondisi lalin di seputar jalan kartini Kota Tegal, terpantau ramai lancar #cuaca mendung @RadioElshinta https://t.co/2BvwkF6Y3D",-1,-1,-1,-1
2020-01-14,Wali Kota Tegal: Indonesia Butuh Pemuda dengan Semangat Solidaritas https://t.co/xFFdJH1pGF,-1,-1,-1,-1
2020-01-24,"@elaawe Yup, ibarat Brebes di tengah kota Tegal dan Kota Cirebon.",-1,-1,1,-1
2020-01-29,"Komandan Kodim (Dandim) 0712/Tegal Letkol Inf Richard Arnold Yeheskiel Sangari,S.E.,M.M.,bersama anggota membersihkan saluran air di Jalan Batam, Kelurahan Panggung, Kecamatan Tegal Timur Kota Tegal. https://t.co/qsVXJWdAPG",1,-1,1,-1
2020-01-03,"@infotegal Kayong enak es sagwan e mas Edi min. Jl KS Tubun, ngarep PMI kota Tegal. 😊",-1,-1,-1,1
2020-01-07,"@ganjarpranowo Kota Tegal, dari jam 15.00 - 21.30 masih hujan gerimis dan deras. Tetap siap siaga dan waspada banjir dan korsleting listrik di rumah perkampungan. Tegal kota masih aman &amp; drainase lancar.",-1,-1,-1,-1
2020-01-25,"@marlina_idha @aniesbaswedan Yg lagi Kunjungan ke daerah Kota Tegal ini bukan Presiden.Jokowi ya
Yg berkunjung adalah Pak Anies 

Ini di Jateng lho, bukan di jalan Tegal Menteng Jakarta",-1,-1,-1,-1
2020-01-29,"#SahabatBawasluKotaTegal.. Allhamdulillah Bawaslu Kota Tegal telah menerbitkan Buletin Pelita Demokrasi Edisi Ke-2 dan Buku Pengawasan Pemilu yang ditulis oleh Komisioner Bawaslu Kota Tegal.
Pembaca dapat… https://t.co/wi0bXmYTr8",-1,-1,-1,-1
2020-01-07,"Pengumuman Gangguan Aliran Air

Diumumkan kepada pelanggan PDAM Kota Tegal, bahwa dikarenakan akan dilaksanakannya perbaikan pipa PVC DN 500 di Desa Kambangan, Kecamatan Lebaksiu, Kabupaten Tegal oleh PDAB Prov.… https://t.co/G4nmTLTxbs",-1,-1,1,-1
2020-01-31,"DPRD Kota Cirebon menerima kunjungan DPRD Kota Tegal, Jumat (31/1). Kunjungan diterima oleh Plt Sekretariat DPRD Kota Cirebon, Ateng Rojudin SH MH. Dalam kunjungan tersebut DPRD Kota Tegal ingin menggali informasi… https://t.co/SQH14zU7AP",-1,-1,1,-1
2020-01-22,"Keseruan Panturide 2020 di Pantai Alam Indah  Kota Tegal Laka laka 

https://t.co/FBszxgYU25",1,-1,-1,-1
2020-01-16,"@bdgfess Slogan kota tegal ari bahari teh, Bahari adalah singkatan dari Bersih, Aman, Hijau, Asri, Rapih dan Indah.. Kitu ceuk google mah",-1,-1,-1,-1
2020-01-08,"Kegiatan Bersih-Bersih Saluran Irigasi di Desa Keturen Kec. Tegal Selatan Kota Tegal
Sedulur kabeh ayuh aja buang sampah nang saluran, mengko nek banjir priwe jal..😢
@ekoyunianto1055 
@Erdete2 
@dpusdatarujtg 
#JatengGayeng https://t.co/hhL6GrMeTN",1,-1,1,-1
2020-01-20,"Bertempat di halaman rumah Alm KH Akhmad Zaini Nadif Jl Dewi Sartika RW 1 Kelurahan Debong Kulon Kecamatan Tegal Selatan Kota Tegal, Danramil 21/TS Kapten Inf Ady Sulistiyo mewakili Dandim 0712/Tegal menghadiri Undangan Khaul ke 6 Almarhum Al Magfurllah KH Akhmad Zaini Nadif https://t.co/4rGaZdt0sf",-1,-1,-1,-1
2020-01-22,Danramil Kapten Inf Irwan Sutrisno beserta anggota Koramil 02/Tegal Timur tergabung dalam pengaman Aksi Unras dan kesepakatan penandatangan berita acara oleh Paguyuban Pedagang Pasar Pagi (PPBA) Kota Tegal serta penyampaian hasil kesepakatan oleh Ketua Umum GNPK RI https://t.co/VZghGmTgIb,-1,-1,-1,-1
2020-01-26,"Keluarga Besar @PCAnsorBrebes mengucapkan  Selamat dan Sukses atas Pelantikan Pengurus Pimpinan Cabang Gerakan Pemuda Ansor Kota Tegal, Jawa Tengah Masa Khidmat 2019 - 2023. 

#KitaIniSama 
#Tegal 

@ansorcybermedia @Official_Ansor @BANSERSATKORNAS @IsnainiAlfa @GPAnsor_Satu https://t.co/5w8aSDpO4I",-1,-1,-1,-1
2020-01-06,"Pasang Ledeng Tanpa Uang Muka

Dalam rangka HUT ke-44, PDAM Kota Tegal mengadakan program pemasangan sambungan baru TANPA UANG MUKA* untuk periode pendaftaran 2-31 Januari 2019.

Cukup dengan membawa fotokopi ktp,… https://t.co/QQGxu6f8pN",-1,-1,-1,-1
2020-01-03,"#Pemberdayaan  TEGAL. Relawan inspirasi Rumah Zakat bersiap untuk meluncur ke daerah terdampak banjir. Beberapa titik parah telah di ketahui, akhirnya di putuskan 2 lokasi yaitu Jln Abdi Negara dan RW 09 desber kelurahan mintaragen kota tegal. https://t.co/dfVmxWxJv2",-1,-1,-1,-1
2020-01-06,"Ditengah Gebyar HUT ke 44 PDAM Kota Tegal, Wakil Walikota Tegal Ini Justru Berbagi Makanan https://t.co/5wqRnACIeq",-1,-1,-1,-1
2020-01-31,"Giat Jumat, didalam tubuh yang kuat terdapat jiwa yang sehat. Jumat Sehat, Jumat Berolahraga..
Tegal, 31 Januari 2020 @ ATR BPN Kota Tegal https://t.co/j52ADtMV44",-1,-1,-1,-1
2020-01-01,"(Tegal,01/01/2020) Izin melaporkan dari Terminal Tipe A kota Tegal pada tanggal 1 Januari 2020.

Kondisi penumpang di Terminal Tipe A Kota Tegal Pada Tahun Baru ini terpantau lengang penumpang. Bus yang terlihat… https://t.co/Y04FFe2NxO",-1,-1,-1,-1
2020-01-21,"Selasa (21/1) Ketua Komisi C DPRD Kota Semarang Rukiyanto menerima kunjungan kerja dari DPRD Kabupaten Madiun, DPRD Kabupaten Batang, DPRD Kota Tegal, DPRD Kota Probolinggo yang bertempat di ruang rapat paripurna… https://t.co/NC2FMuYAyO",-1,-1,1,-1
2020-01-03,"@CNNIndonesia ""Pak bantu warga sendiri aja dulu noh"" 

Ratusan hektar bawang merah di Kota Tegal terendam banjir, petani rugi ratusan bahkan milyaran rupiah https://t.co/dKFew4VG6l",-1,-1,-1,-1
2020-01-29,Wali Kota Tegal: Ansor Elemen Penting Kepemimpinan NU Masa Depan https://t.co/ZSpKDKI0Lk,-1,-1,1,-1
2020-01-24,Selamat dan Sukses atas Dilantiknya Sahabat PC GP Ansor Kota Tegal #tegal #GPAnsortegal @GPAnsor_Satu @ansorcybermedia https://t.co/fg7a8B41f6,-1,-1,-1,-1
2020-01-06,"""Intinya kami dari nelayan siap bahwasanya Natuna adalah bagian dari NKRI dan kami siap mengisi dan berlayar di Laut Natuna,"" ujar Ketua Himpunan Nelayan Seluruh Indondesia Kota Tegal, Riswanto. #Natuna #LautNatuna https://t.co/r2I0CuoORP",-1,-1,1,-1
2020-01-02,"Kantor Dinas Sosial (Dinsos) kota Tegal kebanjiran. Akibatnya, dokumen penting berupa data verifikasi warga miskin maupun peralatan komputer rusak. #Banjir #Tegal https://t.co/b2KOxJcvIg",-1,-1,-1,-1
2020-01-27,"Lebih Jelas lagi yaa,, jadi tidak ada masalah dan pertayaan terkait pencetakan kartu peserta yaa peserta CPNS Kota Tegal...",-1,1,-1,-1
2020-01-13,Seorang remaja asal Kota Tegal bernama Muhammad Tegar (14) tewas tersambar petir diduga dipicu karena bermain ponsel yang sedang dicas. Berikut ini kata polisi terkait kejadian tersebut: #Tegal #TersambarPetir https://t.co/G303vhpjsZ,-1,-1,1,-1
2020-01-06,"#TerimaKasihFPI

Tegal Bukan Hanya Top Urusan Warteg

Ketua Himpunan Nelayan Seluruh Indonesia (HNSI) Kota Tegal Riswanto mengaku siap melaut dan menjaga kedaulatan negara di Perairan Natuna.
https://t.co/eyeoY2GdN9",-1,-1,-1,-1
2020-01-03,kunjungi markas PMI Kota Tegal yg terkena dampak pohon tumbang akibat angin kencang. Sekaligus cek pisko dlm menghadapi musim hujan.(1/1/2020) @palangmerah @ganjarpranowo @taj_yasinmz @arifinmhadi @Pak_JK https://t.co/HiiIbwgYDD,-1,-1,-1,-1
2020-01-10,"Pilihan air minum di kota-kota pesisir:

- Air isi ulang paling laris di Kota Banda Aceh

- Sedangkan air kemasan bermerek paling laku di Kota Denpasar.

- Kalau Air ledeng paling banyak dikonsumsi di Kota Tegal dan Pekalongan

#WaktunyaLokadata https://t.co/CZQYOVFANx",-1,-1,-1,-1
2020-01-31,"Nongkrong dulu kuy di @lotus.tegal, tongkrongan baru di kota tegal yang menyediakan jajanan &amp; minuman buat kamu2 yang suka nongkrong rame-rame. Lotus Caffe di Jl. Hos Cokroaminoto No.31 (dari pasar Pagi Tegal ke selatan ketemu perempatan, langsung deh belok kanan nyampe)

#tegal https://t.co/PDl7NojWjG",1,-1,-1,1
2020-01-22,PMI Provinsi dan ke 34 PMI Kabupaten/Kota secara Simbolis Serahkan Bantuan kepada PMI Kota Tegal sebagai ujud Solidaritas untuk sesama (21/01) @sarwapramana @ganjarpranowo @TajYasinMZ @palangmerah https://t.co/wa29hGkoxe,-1,-1,-1,-1
2020-01-10,"Kopi Darat IKM APIK BANGET

50 lebih pelaku IKM Kota Tegal yang berhimpun dalam Asosiasi APIK BANGET (Asosiasi Perajin Industri Kecil siap mengemBANGkan Ekonomi Tegal) mengadakan pertemuan di awal 2020 (10/01) bertempat di Gedung MUI.
https://t.co/1IPpDB3w0W https://t.co/vyWRMqyeIh",1,-1,-1,-1
2020-01-24,"Dalam beberapa hari terakhir, harga komoditas cabai mengalami kenaikan cukup tinggi di sejumlah pasar tradisional di Kota Tegal, Jawa Tengah. https://t.co/2JSAxblrWf",-1,-1,-1,1
2020-01-26,"Akibat curah hujan tinggi pada Sabtu (25/01), pemukiman warga di Kelurahan Sumurpanggang Kec. Margadana Kota Tegal mengalami banjir. 

Anggota Polres Tegal Kota bersama Tim BPBD dan Puskesmas Margadana mengevakuasi warga yang sakit untuk mendapatkan pertolongan.
#PolriPeduli https://t.co/LH8LlHMXV2",-1,-1,1,-1
2020-01-20,"Pedagang Pasar Pagi Blok A Kota Tegal, Jateng, menggelar aksi damai duduk di tangga akses masuk utama pasar untuk menolak penarikan biata ganda. https://t.co/losYdR0ztO",-1,-1,1,-1
2020-01-27,"Dinkes Kota Tegal Adakan Workshop Gizi Optimal Bagi Milenial - https://t.co/v4LZ2uGr2q

#JatengGayeng",-1,1,-1,-1
2020-01-10,"Jumadi Usulkan Kota Tegal Ikut Pilot Project Flexi-Work - https://t.co/2EIeGIaJeS

#JatengGayeng",1,-1,-1,-1
